,Postcode area,Postcode area name,Postcode district,District name,Latitude,Longitude
0,E,Eastern,E1, Head district ,51.51738925410972,-0.05950652945205482
1,E,Eastern,E10, Leyton ,51.56799126863091,-0.01409489428076254
2,E,Eastern,E11, Leytonstone,51.568738655582024,0.013628440617577193
3,E,Eastern,E12, Manor Park ,51.55073498481012,0.0530174784810126
4,E,Eastern,E13, Plaistow ,51.52773999079188,0.026491103130755075
5,E,Eastern,E14, Poplar ,51.506080019230815,-0.018702275641025643
6,E,Eastern,E15, Stratford ,51.54051117408372,0.0037479502617801044
7,E,Eastern,E16, Victoria Docks and North Woolwich ,51.5107644370033,0.02895441997729856
8,E,Eastern,E17, Walthamstow ,51.5869303872951,-0.02062885860655736
9,E,Eastern,E18, Woodford and South Woodford ,51.59274693548391,0.02493471236559138
10,E,Eastern,E1W, Head district ,51.508901167082215,-0.05886279301745636
11,E,Eastern,E2, Bethnal Green ,51.529579628541484,-0.0625659108079748
12,E,Eastern,E20, Olympic Park,51.546484328859044,-0.00964706040268456
13,E,Eastern,E3, Bow ,51.52789369441895,-0.025389487648673378
14,E,Eastern,E4, Chingford ,51.62080641533539,-0.005833550585729501
15,E,Eastern,E5, Clapton ,51.559174398119154,-0.053496789968651974
16,E,Eastern,E6, East Ham,51.52657226897333,0.05390334374999995
17,E,Eastern,E7, Forest Gate ,51.54713305836579,0.027607252918287913
18,E,Eastern,E8, Hackney ,51.54381537067766,-0.0662282531120332
19,E,Eastern,E9, Homerton ,51.544192186413945,-0.042873262243285935
20,E,,E98,,51.50802555737711,-0.06444208196721306
21,EC,Eastern Central,EC1A, Head district,51.52027033707863,-0.1038349157303371
22,EC,Eastern Central,EC1M, Head district,51.52134999470899,-0.10229195767195769
23,EC,Eastern Central,EC1N, Head district,51.51988624242427,-0.1088233818181818
24,EC,Eastern Central,EC1P, Head district,51.52456528876997,-0.1120383903743315
25,EC,Eastern Central,EC1R, Head district,51.52495988602944,-0.10838214338235297
26,EC,Eastern Central,EC1V, Head district,51.5267613388773,-0.09793512889812891
27,EC,Eastern Central,EC1Y, Head district,51.52302495698924,-0.09238994086021508
28,EC,Eastern Central,EC2A, Bishopsgate,51.52370278735635,-0.08571922413793098
29,EC,Eastern Central,EC2M, Bishopsgate,51.51859585869566,-0.08637104891304358
30,EC,Eastern Central,EC2N, Bishopsgate,51.51573607017544,-0.0856444035087719
31,EC,Eastern Central,EC2P, Bishopsgate,51.524207696202524,-0.1107216582278481
32,EC,Eastern Central,EC2R, Bishopsgate,51.515934924999996,-0.0906608375
33,EC,Eastern Central,EC2V, Bishopsgate,51.51562616814161,-0.09397253982300886
34,EC,Eastern Central,EC2Y, Bishopsgate,51.51947729787235,-0.09368171276595745
35,EC,Eastern Central,EC3A, Fenchurch Street,51.51478003896104,-0.08014023376623378
36,EC,Eastern Central,EC3M, Fenchurch Street,51.51183960674155,-0.08213965168539322
37,EC,Eastern Central,EC3N, Fenchurch Street,51.51188173563217,-0.07689731034482762
38,EC,Eastern Central,EC3P, Fenchurch Street,51.52407400000001,-0.1105844285714286
39,EC,Eastern Central,EC3R, Fenchurch Street,51.51044237362636,-0.08334595604395607
40,EC,Eastern Central,EC3V, Fenchurch Street,51.51295165476193,-0.08588458333333333
41,EC,Eastern Central,EC4A, Fleet Street,51.51577937168139,-0.10829207964601771
42,EC,Eastern Central,EC4M, Fleet Street,51.51421084946238,-0.09928449462365592
43,EC,Eastern Central,EC4N, Fleet Street,51.51284297402598,-0.09138838961038959
44,EC,Eastern Central,EC4P, Fleet Street,51.524565818181806,-0.11203177272727266
45,EC,Eastern Central,EC4R, Fleet Street,51.51080916129034,-0.09038690322580648
46,EC,Eastern Central,EC4V, Fleet Street,51.512331198347084,-0.09974415702479343
47,EC,Eastern Central,EC4Y, Fleet Street,51.51294486666666,-0.10878956296296295
48,N,Northern,N1, Head district ,51.53775145849792,-0.09707564031620565
49,N,Northern,N10, Muswell Hill ,51.59482140357857,-0.14506521471172967
50,N,Northern,N11, New Southgate ,51.61440256645569,-0.13969651107594952
51,N,Northern,N12, North Finchley ,51.61489719209046,-0.17760534745762704
52,N,Northern,N13, Palmers Green ,51.61812724716983,-0.10421959056603763
53,N,Northern,N14, Southgate ,51.63428539794421,-0.1307967679882527
54,N,Northern,N15, South Tottenham ,51.58293229046244,-0.08045038583815024
55,N,Northern,N16, Stoke Newington ,51.5625513079646,-0.0766469530973451
56,N,Northern,N17, Tottenham ,51.59812679615387,-0.07163655961538468
57,N,Northern,N18, Upper Edmonton ,51.613882380073754,-0.06664918634686348
58,N,Northern,N19, Upper Holloway ,51.565258935736615,-0.1300348197492163
59,N,Northern,N1C, Head district ,51.53646895384616,-0.12587316923076922
60,N,Northern,N1P, Head district ,51.539010885416346,-0.10339950892857261
61,N,Northern,N2, East Finchley ,51.59006972643255,-0.16929856746765268
62,N,Northern,N20, Whetstone ,51.629261267289685,-0.17434944859813117
63,N,Northern,N21, Winchmore Hill ,51.636708085561494,-0.09973676292335107
64,N,Northern,N22, Wood Green,51.599876268188325,-0.11033422396576338
65,N,Northern,N3, Finchley ,51.60022237106919,-0.19390902515723288
66,N,Northern,N4, Finsbury Park ,51.57003475586844,-0.10434478755868531
67,N,Northern,N5, Highbury ,51.55386895893723,-0.09860012560386477
68,N,Northern,N6, Highgate ,51.57320886599999,-0.146008018
69,N,Northern,N7, Holloway,51.55347220022503,-0.11830763329583802
70,N,Northern,N8, Hornsey ,51.58263953550299,-0.12029985355029592
71,N,,N81,,51.554485,-0.05890700000000001
72,N,Northern,N9, Lower Edmonton ,51.628497187713215,-0.05802600682593854
73,NW,North Western,NW1, Head district ,51.53320178134472,-0.1438468219261054
74,NW,North Western,NW10, Willesden ,51.541289249723164,-0.24804528682170493
75,NW,North Western,NW11, Golders Green,51.578409194186094,-0.1974783744186044
76,NW,North Western,NW1W, Head district ,51.530784252466006,-0.13542671794871827
