,Arrondissement,Name,Zip code,Latitude,Longitude,Area (km2)
0,1st,Louvre,75001,48.8592,2.3417,1.83
1,2nd,Bourse,75002,48.8655,2.3426,0.99
2,3rd,Temple,75003,48.8637,2.3615,1.17
3,4th,Hôtel-de-Ville,75004,48.8601,2.3507,1.6
4,5th,Panthéon,75005,48.8448,2.3471,2.54
5,6th,Luxembourg,75006,48.8493,2.33,2.15
6,7th,Palais-Bourbon,75007,48.8565,2.321,4.09
7,8th,Élysée,75008,48.8763,2.3183,3.88
8,9th,Opéra,75009,48.8718,2.3399,2.18
9,10th,Entrepôt,75010,48.8709,2.3561,2.89
10,11th,Popincourt,75011,48.8574,2.3795,3.67
11,12th,Reuilly,75012,48.8412,2.3876,6.37
12,13th,Gobelins,75013,48.8322,2.3561,7.15
13,14th,Observatoire,75014,48.8331,2.3264,5.62
14,15th,Vaugirard,75015,48.8412,2.3003,8.5
15,16th,Passy,"75016, 75116",48.8637,2.2769,7.84
16,17th,Batignolles-Monceau,75017,48.8835,2.3219,5.67
17,18th,Buttes-Montmartre,75018,48.8925,2.3444,6.0
18,19th,Buttes-Chaumont,75019,48.8817,2.3822,6.79
19,20th,Ménilmontant,75020,48.8646,2.3984,5.98
20,12th,Bois-de-Vincenne,77012,48.8283,2.433,9.95
21,16th,Bois-de-Boulogne,77016,48.8624,2.2492,8.46
